brand;femme;age
PetitPrix;0;24
PetitPrix;0;26
PetitPrix;0;26
PetitPrix;1;27
PetitPrix;1;27
PetitPrix;0;27
PetitPrix;0;27
PetitPrix;1;27
PetitPrix;0;27
PetitPrix;0;27
PetitPrix;1;27
PetitPrix;1;28
PetitPrix;0;28
PetitPrix;0;28
PetitPrix;0;28
PetitPrix;0;28
PetitPrix;1;28
PetitPrix;1;28
PetitPrix;1;28
PetitPrix;1;28
PetitPrix;1;28
PetitPrix;1;29
PetitPrix;1;29
PetitPrix;1;29
PetitPrix;1;29
PetitPrix;1;29
PetitPrix;0;29
PetitPrix;0;29
PetitPrix;0;29
PetitPrix;1;29
PetitPrix;0;29
PetitPrix;0;29
PetitPrix;1;29
PetitPrix;0;29
PetitPrix;0;29
PetitPrix;0;30
PetitPrix;0;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;1;30
PetitPrix;0;30
PetitPrix;1;31
PetitPrix;0;31
PetitPrix;0;31
PetitPrix;0;31
PetitPrix;0;31
PetitPrix;1;31
PetitPrix;0;31
PetitPrix;1;31
PetitPrix;1;31
PetitPrix;0;31
PetitPrix;1;31
PetitPrix;0;31
PetitPrix;1;31
PetitPrix;0;31
PetitPrix;0;31
PetitPrix;0;31
PetitPrix;1;31
PetitPrix;1;31
PetitPrix;1;31
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
PetitPrix;0;32
PetitPrix;0;32
PetitPrix;1;32
